run,latency_ms,vram_gb,verdict
1,215.79930000007153,6.452370432,HALLUCINATED
2,213.89770007226616,6.452370432,HALLUCINATED
3,215.6689000548795,6.452370432,HALLUCINATED
4,209.23929999116808,6.452370432,HALLUCINATED
5,210.27550008147955,6.452370432,HALLUCINATED
6,218.87129999231547,6.452370432,HALLUCINATED
7,201.80350006558,6.452370432,HALLUCINATED
8,207.79210003092885,6.452370432,HALLUCINATED
9,214.85800005029887,6.452370432,HALLUCINATED
10,208.4508000407368,6.452370432,HALLUCINATED
11,209.25019995775074,6.452370432,HALLUCINATED
12,221.62600001320243,6.452370432,HALLUCINATED
13,210.5965999653563,6.452370432,HALLUCINATED
14,213.637400069274,6.452370432,HALLUCINATED
15,216.15449991077185,6.452370432,HALLUCINATED
16,206.55659993644804,6.452370432,HALLUCINATED
17,220.14390002004802,6.452370432,HALLUCINATED
18,216.03819995652884,6.452370432,HALLUCINATED
19,206.68750000186265,6.452370432,HALLUCINATED
20,205.71969996672124,6.452370432,HALLUCINATED
21,203.6665000487119,6.452370432,HALLUCINATED
22,210.729300044477,6.452370432,HALLUCINATED
23,208.35709990933537,6.452370432,HALLUCINATED
24,208.73960002791137,6.452370432,HALLUCINATED
25,208.9441999560222,6.452370432,HALLUCINATED
26,206.04530000127852,6.452370432,HALLUCINATED
27,205.90390008874238,6.452370432,HALLUCINATED
28,208.8026999263093,6.452370432,HALLUCINATED
29,207.48920005280524,6.452370432,HALLUCINATED
30,205.95650002360344,6.452370432,HALLUCINATED
